player_name,game_date,team,starter,injury_status,health_status,suspension_status,family_context,expected_minutes,salary_dk,salary_fd,implied_team_total,game_total,spread,rest_days,travel_miles
Tyson Etienne,2026-03-05,BKN,0.0,,,,,,,,,,,,
Ziaire Williams,2026-03-05,BKN,0.0,,,,,,,,,,,,
Aaron Holiday,2026-03-05,HOU,0.0,,,,,,,,,,,,
Alperen Sengun,2026-03-05,HOU,1.0,,,,,,,,,,,,
Amen Thompson,2026-03-05,HOU,1.0,,,,,,,,,,,,
Clint Capela,2026-03-05,HOU,0.0,,,,,,,,,,,,
Dorian Finney-Smith,2026-03-05,HOU,0.0,,,,,,,,,,,,
Isaiah Crawford,2026-03-05,HOU,0.0,,,,,,,,,,,,
JD Davison,2026-03-05,HOU,0.0,,,,,,,,,,,,
Jabari Smith Jr.,2026-03-05,HOU,1.0,,,,,,,,,,,,
Jae'Sean Tate,2026-03-05,HOU,0.0,,,,,,,,,,,,
Jeff Green,2026-03-05,HOU,0.0,,,,,,,,,,,,
Josh Okogie,2026-03-05,HOU,0.0,,,,,,,,,,,,
Kevin Durant,2026-03-05,HOU,1.0,,,,,,,,,,,,
Reed Sheppard,2026-03-05,HOU,0.0,,,,,,,,,,,,
Steven Adams,2026-03-05,HOU,0.0,,,,,,,,,,,,
Tari Eason,2026-03-05,HOU,1.0,,,,,,,,,,,,
Al Horford,2026-03-05,GSW,1.0,,,,,,,,,,,,
Brandin Podziemski,2026-03-05,GSW,1.0,,,,,,,,,,,,
De'Anthony Melton,2026-03-05,GSW,1.0,,,,,,,,,,,,
Draymond Green,2026-03-05,GSW,1.0,,,,,,,,,,,,
Gary Payton II,2026-03-05,GSW,0.0,,,,,,,,,,,,
Gui Santos,2026-03-05,GSW,1.0,,,,,,,,,,,,
Jimmy Butler III,2026-03-05,GSW,0.0,,,,,,,,,,,,
Kristaps Porziņģis,2026-03-05,GSW,0.0,,,,,,,,,,,,
LJ Cryer,2026-03-05,GSW,0.0,,,,,,,,,,,,
Malevy Leons,2026-03-05,GSW,0.0,,,,,,,,,,,,
Moses Moody,2026-03-05,GSW,0.0,,,,,,,,,,,,
