player_name,game_date,team,starter,injury_status,health_status,suspension_status,family_context,expected_minutes,salary_dk,salary_fd,implied_team_total,game_total,spread,rest_days,travel_miles
Russell Westbrook,2026-03-05,SAC,1.0,,,,,,,,,,,,
Zach LaVine,2026-03-05,SAC,0.0,,,,,,,,,,,,
Bryce McGowens,2026-03-05,NOP,0.0,,,,,,,,,,,,
DeAndre Jordan,2026-03-05,NOP,1.0,,,,,,,,,,,,
Dejounte Murray,2026-03-05,NOP,0.0,,,,,,,,,,,,
Derik Queen,2026-03-05,NOP,0.0,,,,,,,,,,,,
Herbert Jones,2026-03-05,NOP,1.0,,,,,,,,,,,,
Hunter Dickinson,2026-03-05,NOP,0.0,,,,,,,,,,,,
Jeremiah Fears,2026-03-05,NOP,0.0,,,,,,,,,,,,
Jordan Hawkins,2026-03-05,NOP,0.0,,,,,,,,,,,,
Jordan Poole,2026-03-05,NOP,0.0,,,,,,,,,,,,
Karlo Matković,2026-03-05,NOP,0.0,,,,,,,,,,,,
Kevon Looney,2026-03-05,NOP,0.0,,,,,,,,,,,,
Micah Peavy,2026-03-05,NOP,0.0,,,,,,,,,,,,
Saddiq Bey,2026-03-05,NOP,1.0,,,,,,,,,,,,
Trey Alexander,2026-03-05,NOP,0.0,,,,,,,,,,,,
Trey Murphy III,2026-03-05,NOP,1.0,,,,,,,,,,,,
Yves Missi,2026-03-05,NOP,0.0,,,,,,,,,,,,
Zion Williamson,2026-03-05,NOP,1.0,,,,,,,,,,,,
