player_key,player_name,hometown_teams,profile_updated_at,profile_source
clint capela,Clint Capela,HOU,2026-03-12T04:11:31.523295+00:00,https://en.wikipedia.org/wiki/Clint_Capela
coby white,Coby White,CHA,2026-03-12T04:11:31.523295+00:00,https://en.wikipedia.org/wiki/Coby_White
cody martin,Cody Martin,CHA,2026-03-12T05:17:06.631629+00:00,https://en.wikipedia.org/wiki/Cody_Martin_(basketball)
cody williams,Cody Williams,DEN|OKC|UTA,2026-03-12T03:24:23.136791+00:00,https://en.wikipedia.org/wiki/Cody_Williams
colby jones,Colby Jones,MEM,2026-03-12T21:50:47.178602+00:00,https://en.wikipedia.org/wiki/Colby_Jones
collin gillespie,Collin Gillespie,PHX,2026-03-12T22:57:32.043139+00:00,https://en.wikipedia.org/wiki/Collin_Gillespie
collin murray boyles,Collin Murray-Boyles,TOR,2026-03-11T23:10:29.619486+00:00,https://en.wikipedia.org/wiki/Collin_Murray-Boyles
collin sexton,Collin Sexton,CHA|CHI|CLE|UTA,2026-03-12T06:07:15.653423+00:00,https://en.wikipedia.org/wiki/Collin_Sexton
cooper flagg,Cooper Flagg,DAL|MIA|ORL,2026-03-12T22:57:32.043139+00:00,https://en.wikipedia.org/wiki/Cooper_Flagg
corey kispert,Corey Kispert,ATL,2026-03-10T23:36:01.050229+00:00,https://en.wikipedia.org/wiki/Corey_Kispert
craig porter jr,Craig Porter Jr.,CLE,2026-03-12T00:59:19.123422+00:00,https://en.wikipedia.org/wiki/Craig_Porter_Jr.
curtis jones,Curtis Jones,DEN,2026-03-12T22:40:14.035766+00:00,https://en.wikipedia.org/wiki/Curtis_Jones_(basketball)
d angelo russell,D'Angelo Russell,CLE|LAC|LAL|WAS,2026-03-12T07:38:16.667438+00:00,https://en.wikipedia.org/wiki/D'Angelo_Russell
daron holmes ii,DaRon Holmes II,DEN,2026-03-12T22:06:47.743184+00:00,https://en.wikipedia.org/wiki/DaRon_Holmes_II
daeqwon plowden,Daeqwon Plowden,SAC,2026-03-12T04:10:08.812817+00:00,https://en.wikipedia.org/wiki/Daeqwon_Plowden
dalen terry,Dalen Terry,PHI,2026-03-12T22:53:22.762786+00:00,https://en.wikipedia.org/wiki/Dalen_Terry
dalton knecht,Dalton Knecht,DEN|LAC|LAL|MEM,2026-03-11T04:34:25.398428+00:00,https://en.wikipedia.org/wiki/Dalton_Knecht
daniel gafford,Daniel Gafford,CHI|DAL,2026-03-12T22:57:32.043139+00:00,https://en.wikipedia.org/wiki/Daniel_Gafford
daniss jenkins,Daniss Jenkins,DET,2026-03-12T22:53:22.762786+00:00,https://en.wikipedia.org/wiki/Daniss_Jenkins
danny wolf,Danny Wolf,BKN|DET,2026-03-10T23:36:01.050229+00:00,https://en.wikipedia.org/wiki/Danny_Wolf
dario ari,Dario Šarić,DEN|MIN|OKC|PHI,2026-03-11T19:54:00.538270+00:00,https://en.wikipedia.org/wiki/Dario_%C5%A0ari%C4%87
darius brown,Darius Brown,CLE|UTA,2026-03-11T16:25:51.525425+00:00,https://en.wikipedia.org/wiki/Darius_Brown_(basketball)
darius garland,Darius Garland,IND|LAC|LAL|MEM,2026-03-12T04:55:35.259378+00:00,https://en.wikipedia.org/wiki/Darius_Garland
david roddy,David Roddy,DEN,2026-03-12T22:08:14.232239+00:00,https://en.wikipedia.org/wiki/David_Roddy
davion mitchell,Davion Mitchell,MIA|SAC,2026-03-11T00:31:54.160041+00:00,https://en.wikipedia.org/wiki/Davion_Mitchell
de aaron fox,De'Aaron Fox,SAC|SAS,2026-03-12T22:57:32.043139+00:00,https://en.wikipedia.org/wiki/De'Aaron_Fox
de andre hunter,De'Andre Hunter,SAC,2026-03-12T03:46:57.245706+00:00,https://en.wikipedia.org/wiki/De'Andre_Hunter
de anthony melton,De'Anthony Melton,,2026-03-11T04:34:25.398428+00:00,https://en.wikipedia.org/wiki/De'Anthony_Melton
deandre jordan,DeAndre Jordan,DAL|HOU|NOP|SAS,2026-03-12T02:25:56.148510+00:00,https://en.wikipedia.org/wiki/DeAndre_Jordan
demar derozan,DeMar DeRozan,SAC|TOR,2026-03-12T04:10:08.812817+00:00,https://en.wikipedia.org/wiki/DeMar_DeRozan
dean wade,Dean Wade,CLE,2026-03-12T02:07:34.558900+00:00,https://en.wikipedia.org/wiki/Dean_Wade
deandre ayton,Deandre Ayton,LAC|LAL|PHX,2026-03-12T22:57:32.043139+00:00,https://en.wikipedia.org/wiki/Deandre_Ayton
dejounte murray,Dejounte Murray,ATL|NOP|SAS|WAS,2026-03-12T02:22:53.389669+00:00,https://en.wikipedia.org/wiki/Dejounte_Murray
deni avdija,Deni Avdija,POR|WAS,2026-03-11T16:25:01.036235+00:00,https://en.wikipedia.org/wiki/Deni_Avdija
