game_date,game,team,opponent,player_name,lineup_status,market,projection,bet_higher_if_line_leq,bet_lower_if_line_geq,confidence_flag,historical_games_used
2026-03-05,DAL @ ORL,ORL,DAL,Desmond Bane,confirmed,PRA,31.66,29.5,34.0,high_confidence,60
2026-03-05,CHI @ PHX,PHX,CHI,Collin Gillespie,expected,PRA,25.54,23.5,28.0,high_confidence,60
2026-03-05,TOR @ MIN,MIN,TOR,Jaden McDaniels,confirmed,PRA,23.42,21.0,25.5,high_confidence,60
2026-03-05,DAL @ ORL,ORL,DAL,Desmond Bane,confirmed,PTS,23.34,21.5,25.0,high_confidence,60
2026-03-05,TOR @ MIN,MIN,TOR,Jaden McDaniels,confirmed,PTS,15.71,14.0,17.5,high_confidence,60
2026-03-05,CHI @ PHX,PHX,CHI,Collin Gillespie,expected,PTS,15.58,14.0,17.5,high_confidence,60
2026-03-05,CHI @ PHX,PHX,CHI,Collin Gillespie,expected,AST,5.98,4.5,7.0,high_confidence,60
2026-03-05,TOR @ MIN,MIN,TOR,Jaden McDaniels,confirmed,REB,4.92,3.5,6.0,high_confidence,60
2026-03-05,DAL @ ORL,ORL,DAL,Desmond Bane,confirmed,AST,4.42,3.0,5.5,high_confidence,60
2026-03-05,CHI @ PHX,PHX,CHI,Collin Gillespie,expected,REB,3.98,2.5,5.0,high_confidence,60
2026-03-05,DAL @ ORL,ORL,DAL,Desmond Bane,confirmed,REB,3.9,2.5,5.0,high_confidence,60
2026-03-05,CHI @ PHX,PHX,CHI,Collin Gillespie,expected,3PM,3.7,3.0,4.5,high_confidence,60
2026-03-05,TOR @ MIN,MIN,TOR,Jaden McDaniels,confirmed,AST,2.8,1.5,4.0,high_confidence,60
2026-03-05,DAL @ ORL,ORL,DAL,Desmond Bane,confirmed,3PM,1.94,1.0,2.5,high_confidence,60
2026-03-05,CHI @ PHX,PHX,CHI,Collin Gillespie,expected,TO,1.93,1.0,2.5,high_confidence,60
2026-03-05,TOR @ MIN,MIN,TOR,Jaden McDaniels,confirmed,TO,1.82,1.0,2.5,high_confidence,60
2026-03-05,DAL @ ORL,ORL,DAL,Desmond Bane,confirmed,TO,1.8,1.0,2.5,high_confidence,60
2026-03-05,TOR @ MIN,MIN,TOR,Jaden McDaniels,confirmed,3PM,1.51,1.0,2.5,high_confidence,60
2026-03-05,CHI @ PHX,PHX,CHI,Collin Gillespie,expected,STL,1.4,0.5,2.0,high_confidence,60
2026-03-05,DAL @ ORL,ORL,DAL,Desmond Bane,confirmed,STL,1.15,0.5,2.0,high_confidence,60
2026-03-05,TOR @ MIN,MIN,TOR,Jaden McDaniels,confirmed,STL,0.96,,1.5,high_confidence,60
2026-03-05,TOR @ MIN,MIN,TOR,Jaden McDaniels,confirmed,BLK,0.84,,1.5,high_confidence,60
2026-03-05,DAL @ ORL,ORL,DAL,Desmond Bane,confirmed,BLK,0.47,,1.0,high_confidence,60
2026-03-05,CHI @ PHX,PHX,CHI,Collin Gillespie,expected,BLK,0.23,,1.0,high_confidence,60
2026-03-05,LAL @ DEN,DEN,LAL,Jamal Murray,expected,PRA,39.59,37.5,42.0,high_confidence,59
